date,housing,unemployment,median_days,price_increased,price_decreased,pending_listing,median_price
7/1/2016,9441,4.2,37,324,1740,5,319900
8/1/2016,9554,4.1,39,420,1728,5,319048
9/1/2016,9425,4,42,272,1756,6,324450
10/1/2016,8996,3.8,42,320,1760,5,329900
11/1/2016,8452,3.6,45,352,1552,5,335650
12/1/2016,8187,3.5,51,280,876,5,336900
1/1/2017,7197,3.9,55,404,1020,5,339900
2/1/2017,7689,3.6,44,432,1072,6,346000
3/1/2017,7882,3.3,38,452,1292,8,351450
4/1/2017,8234,2.7,37,400,1472,7,357900
5/1/2017,6083,2.6,35,392,1756,2775,389900
6/1/2017,6281,3.3,37,392,1920,2725,389721
7/1/2017,6518,3.1,37,348,2044,2567,387900
8/1/2017,6615,2.9,39,364,2104,2463,386593
9/1/2017,6765,2.6,40,420,2140,2349,386000
10/1/2017,6958,2.6,39,292,2152,2258,382525
11/1/2017,6930,2.6,41,328,2036,2188,379900
12/1/2017,6540,2.6,46,284,1276,1934,379900
1/1/2018,5996,3,52,364,1124,1778,380000
2/1/2018,5964,2.8,39,420,1436,2085,379995
3/1/2018,5991,2.8,36,432,1492,2315,384483
4/1/2018,6377,2.4,35,460,1884,2508,387450
5/1/2018,6921,2.5,35,376,2112,2596,382900
6/1/2018,7468,3.3,35,424,2552,2632,378000
7/1/2018,8000,3.1,36,368,2888,2517,369950
8/1/2018,8244,3,37,404,3024,2501,369450
9/1/2018,8946,2.8,38,392,3144,2445,364900
10/1/2018,9286,2.7,42,308,3412,2326,359550
11/1/2018,9221,2.5,43,260,2868,2188,350125
12/1/2018,8632,2.5,50,232,1796,1852,354900
1/1/2019,8107,3,54,392,2004,1936,355589
2/1/2019,7852,2.7,45,284,1992,2325,357520
3/1/2019,7623,2.8,39,304,2248,2608,364186
4/1/2019,7501,2.3,35,360,2452,2898,369900
5/1/2019,7857,2.5,34,388,2484,3177,371428
6/1/2019,7831,3.1,36,324,2608,3028,375000
7/1/2019,7933,3,37,364,2796,2831,375500
8/1/2019,7717,2.7,39,600,2692,2784,375100
9/1/2019,7503,2.5,38,828,2576,2743,373400
10/1/2019,7868,2.8,37,328,2756,2531,369900
11/1/2019,7744,2.5,42,272,2376,2421,369900
12/1/2019,7167,2.6,46,276,1396,2123,367700
1/1/2020,6447,2.9,49,368,1500,2003,365450
2/1/2020,5912,2.7,36,540,1444,2411,369900
3/1/2020,5836,3.2,35,492,1428,2608,378700
4/1/2020,6626,15.6,35,364,1512,2471,374995
5/1/2020,6498,12.3,37,488,1760,2896,385000
6/1/2020,6012,10.8,34,608,1944,3470,390000
7/1/2020,6225,9.6,31,600,1856,4008,389945
8/1/2020,5347,7.2,32,780,1660,3581,395418
9/1/2020,4698,6.3,33,640,1356,3314,399900
10/1/2020,4474,5.2,32,564,1384,3065,399900
11/1/2020,4070,4.6,32,432,1240,2833,397218
12/1/2020,3676,4.6,37,532,848,2539,395900
1/1/2021,3135,4.8,36,564,624,2279,398187
2/1/2021,2450,4.4,26,532,404,2483,397450
3/1/2021,2145,4.3,22,568,432,2393,399900
4/1/2021,1961,4,19,372,392,2527,413805
5/1/2021,1899,3.7,15,244,428,2534,415000
6/1/2021,2100,4.4,15,212,588,2426,429450
7/1/2021,2411,3.8,17,184,944,2380,446000
8/1/2021,2618,3.5,19,240,984,2420,439900
9/1/2021,2716,3.1,21,268,1020,2394,445413
10/1/2021,2819,2.8,22,256,936,2430,450000
11/1/2021,2525,2.6,24,212,812,2464,455450
12/1/2021,1985,2.5,31,196,504,2196,459900
1/1/2022,1606,2.9,29,204,332,1863,453000
2/1/2022,1489,2.7,16,256,320,1923,472450
3/1/2022,1497,2.5,14,200,392,1911,499900
4/1/2022,1778,2.5,11,196,600,2007,524900
5/1/2022,2622,2.8,14,204,1176,2169,549700
6/1/2022,3897,3.4,15,140,1984,2275,560950
